Date,total_percentage,close,open,high,low,volume
2023-12-08,846.7968058230116,36247.87109375,36084.8203125,36296.19921875,36061.640625,295180000
2023-12-11,870.1230050539157,36404.9296875,36254.328125,36416.1796875,36231.19140625,342490000
2023-12-12,859.5302095886638,36577.94140625,36442.1015625,36596.109375,36373.21875,292770000
2023-12-13,911.635985777077,37090.23828125,36601.80078125,37094.8515625,36523.58984375,354790000
2023-12-14,924.0074501254971,37248.3515625,37115.62890625,37287.5,37051.51953125,455820000
2023-12-15,908.4194707057488,37305.16015625,37194.5,37347.6015625,37092.01953125,788160000
2023-12-18,933.1221214850198,37306.01953125,37330.140625,37393.44921875,37284.8515625,292120000
2023-12-19,949.5538490546272,37557.921875,37311.8203125,37562.828125,37311.8203125,272740000
2023-12-20,898.3674640545707,37082.0,37520.12890625,37641.30078125,37073.0390625,303450000
2023-12-21,930.9552823784704,37404.3515625,37225.3203125,37418.76171875,37127.05078125,253120000
2023-12-22,947.347230790514,37385.96875,37349.26953125,37534.51953125,37268.87890625,252970000
2023-12-26,972.4770513040356,37545.328125,37405.8984375,37617.98828125,37371.828125,212420000
2023-12-27,963.6813952126048,37656.51953125,37518.62109375,37683.69921875,37488.6015625,245530000
2023-12-28,932.7949472582452,37710.1015625,37661.51953125,37778.8515625,37650.98046875,199550000
2023-12-29,935.174095172337,37689.5390625,37701.62890625,37759.4296875,37538.80078125,234570000
